0,1,40
0,8,1
1,0,1
1,2,2
1,9,2
2,1,40
2,3,2
2,10,2
3,2,2
3,4,2
3,11,2
4,3,2
4,5,2
4,12,40
5,4,2
5,6,2
5,13,40
6,5,2
6,7,2
6,14,40
7,6,2
7,15,40
8,0,1
8,9,2
8,16,1
9,1,40
9,8,1
9,10,2
9,17,1
10,2,2
10,9,2
10,11,2
10,18,1
11,3,2
11,10,2
11,12,40
11,19,1
12,4,2
12,11,2
12,13,40
12,20,1
13,5,2
13,12,40
13,14,40
13,21,2
14,6,2
14,13,40
14,15,40
14,22,5
15,7,2
15,14,40
15,23,5
16,8,1
16,17,1
16,24,2
17,9,2
17,16,1
17,18,1
17,25,2
18,10,2
18,17,1
18,19,1
18,26,2
19,11,2
19,18,1
19,20,1
19,27,2
20,12,40
20,19,1
20,21,2
20,28,1
21,13,40
21,20,1
21,22,5
21,29,2
22,14,40
22,21,2
22,23,5
22,30,5
23,15,40
23,22,5
23,31,5
24,16,1
24,25,2
24,32,5
25,17,1
25,24,2
25,26,2
25,33,5
26,18,1
26,25,2
26,27,2
26,34,5
27,19,1
27,26,2
27,28,1
27,35,2
28,20,1
28,27,2
28,29,2
28,36,1
29,21,2
29,28,1
29,30,5
29,37,2
30,22,5
30,29,2
30,31,5
30,38,5
31,23,5
31,30,5
31,39,5
32,24,2
32,33,5
32,40,2
33,25,2
33,32,5
33,34,5
33,41,2
34,26,2
34,33,5
34,35,2
34,42,2
35,27,2
35,34,5
35,36,1
35,43,2
36,28,1
36,35,2
36,37,2
36,44,1
37,29,2
37,36,1
37,38,5
37,45,2
38,30,5
38,37,2
38,39,5
38,46,5
39,31,5
39,38,5
39,47,5
40,32,5
40,41,2
40,48,2
41,33,5
41,40,2
41,41,2
41,49,40
42,34,5
42,42,2
42,43,2
42,50,40
43,35,2
43,42,2
43,44,1
43,51,40
44,36,1
44,43,2
44,45,2
44,52,1
45,37,2
45,44,1
45,46,5
45,53,2
46,38,5
46,45,2
46,47,5
46,54,5
47,39,5
47,46,5
47,55,5
48,40,2
48,49,40
48,56,2
49,41,2
49,48,2
49,50,40
49,57,2
50,42,2
50,49,40
50,51,40
50,58,2
51,43,2
51,50,40
51,52,1
51,59,2
52,44,1
52,51,40
52,53,2
52,60,1
53,45,2
53,52,1
53,54,5
53,61,1
54,46,5
54,53,2
54,55,5
54,62,1
55,47,5
55,54,5
55,63,1
56,48,2
56,57,2
57,49,40
57,56,2
57,58,2
58,50,40
58,57,2
58,59,2
59,51,40
59,58,2
59,60,1
60,52,1
60,59,2
60,61,1
61,53,2
61,60,1
61,62,1
62,54,5
62,61,1
62,63,1
63,55,5
63,62,1
